Gender,Age,casualListen,focusListen,Instrument,Percussion,Read,Rock_Preference,Electronic_Preference,Latin_Preference,Complex_Rhythms,Question,Genre,Measure,patternType,fileName,Fitness,Distance,Score
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,electronic,Swap,Linear,Electronic-Swap-Linear-11-8.wav,11,8,2
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,electronic,Swap,Linear,Electronic-Swap-Linear-25-3.wav,25,3,5
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,electronic,Swap,Parallel,Electronic-Swap-Parallel-15-40.wav,15,40,1
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,electronic,Swap,Parallel,Electronic-Swap-Parallel-33-11.wav,33,11,1
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,electronic,Swap,Parallel,Electronic-Swap-Parallel-58-4.wav,58,4,5
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,latin,Hamming,Linear,Latin-Hamming-Linear-70-19.wav,70,19,4
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,latin,Hamming,Linear,Latin-Hamming-Linear-83-11.wav,83,11,4
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,latin,Hamming,Linear,Latin-Hamming-Linear-94-4.wav,94,4,5
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,latin,Hamming,Parallel,Latin-Hamming-Parallel-73-17.wav,73,17,2
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,latin,Hamming,Parallel,Latin-Hamming-Parallel-81-12.wav,81,12,2
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,latin,Hamming,Parallel,Latin-Hamming-Parallel-91-6.wav,91,6,2
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,latin,Swap,Linear,Latin-Swap-Linear-06-17.wav,06,17,4
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,latin,Swap,Linear,Latin-Swap-Linear-11-8.wav,11,8,4
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,latin,Swap,Linear,Latin-Swap-Linear-20-4.wav,20,4,3
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,latin,Swap,Parallel,Latin-Swap-Parallel-16-24.wav,16,24,3
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,latin,Swap,Parallel,Latin-Swap-Parallel-25-14.wav,25,14,2
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,latin,Swap,Parallel,Latin-Swap-Parallel-67-4.wav,67,4,5
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,rock,Hamming,Linear,Rock-Hamming-Linear-67-21.wav,67,21,2
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,rock,Hamming,Linear,Rock-Hamming-Linear-73-17.wav,73,17,2
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,rock,Hamming,Linear,Rock-Hamming-Linear-84-10.wav,84,10,5
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,rock,Hamming,Parallel,Rock-Hamming-Parallel-73-17.wav,73,17,2
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,rock,Hamming,Parallel,Rock-Hamming-Parallel-81-12.wav,81,12,4
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,rock,Hamming,Parallel,Rock-Hamming-Parallel-91-6.wav,91,6,4
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,rock,Swap,Linear,Rock-Swap-Linear-03-34.wav,03,34,1
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,rock,Swap,Linear,Rock-Swap-Linear-06-17.wav,06,17,1
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,rock,Swap,Linear,Rock-Swap-Linear-17-5.wav,17,5,3
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,rock,Swap,Parallel,Rock-Swap-Parallel-12-60.wav,12,60,2
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,rock,Swap,Parallel,Rock-Swap-Parallel-39-32.wav,39,32,3
Female,15-24,5,4,Yes,No,Yes,3,2,1,3,similarity,rock,Swap,Parallel,Rock-Swap-Parallel-58-20.wav,58,20,3
Female,35-44,4,3,Yes,No,Yes,1,3,2,3,interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-64-23.wav,64,23,5
Female,35-44,4,3,Yes,No,Yes,1,3,2,3,interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-83-11.wav,83,11,5
Female,35-44,4,3,Yes,No,Yes,1,3,2,3,interestingness,electronic,Hamming,Linear,Electronic-Hamming-Linear-95-3.wav,95,3,2
Female,35-44,4,3,Yes,No,Yes,1,3,2,3,interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-78-14.wav,78,14,4
Female,35-44,4,3,Yes,No,Yes,1,3,2,3,interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-86-9.wav,86,9,5
Female,35-44,4,3,Yes,No,Yes,1,3,2,3,interestingness,electronic,Hamming,Parallel,Electronic-Hamming-Parallel-91-6.wav,91,6,5
Female,35-44,4,3,Yes,No,Yes,1,3,2,3,interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-03-37.wav,03,37,5
Female,35-44,4,3,Yes,No,Yes,1,3,2,3,interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-08-12.wav,08,12,5
Female,35-44,4,3,Yes,No,Yes,1,3,2,3,interestingness,electronic,Swap,Linear,Electronic-Swap-Linear-20-4.wav,20,4,2
