Question,Genre,Measure,patternType,fileName,Fitness,Distance,Score
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-20-20.wav,20,20,2
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-20-20.wav,20,20,2
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-20-20.wav,20,20,2
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-20-20.wav,20,20,3
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-20-20.wav,20,20,3
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-20-20.wav,20,20,3
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-20-20.wav,20,20,3
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-20-20.wav,20,20,4
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-20-20.wav,20,20,4
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-20-20.wav,20,20,4
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-20-20.wav,20,20,4
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-20-20.wav,20,20,5
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-20-20.wav,20,20,5
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-71-3.wav,71,3,1
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-71-3.wav,71,3,1
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-71-3.wav,71,3,2
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-71-3.wav,71,3,2
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-71-3.wav,71,3,2
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-71-3.wav,71,3,2
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-71-3.wav,71,3,2
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-71-3.wav,71,3,2
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-71-3.wav,71,3,2
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-71-3.wav,71,3,2
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-71-3.wav,71,3,3
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-71-3.wav,71,3,3
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-71-3.wav,71,3,3
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-71-3.wav,71,3,3
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-71-3.wav,71,3,4
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-71-3.wav,71,3,4
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-71-3.wav,71,3,4
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-71-3.wav,71,3,4
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-71-3.wav,71,3,4
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-71-3.wav,71,3,4
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-71-3.wav,71,3,5
interestingness,electronic,Swap,Parallel,Electronic-Swap-Parallel-71-3.wav,71,3,5
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-64-23.wav,64,23,2
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-64-23.wav,64,23,2
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-64-23.wav,64,23,2
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-64-23.wav,64,23,2
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-64-23.wav,64,23,2
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-64-23.wav,64,23,3
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-64-23.wav,64,23,3
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-64-23.wav,64,23,3
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-64-23.wav,64,23,3
interestingness,latin,Hamming,Linear,Latin-Hamming-Linear-64-23.wav,64,23,3
