Algorithm,Measure,Value
CNN,f-measure,0.830188679245283
CNN,precision,1.0
CNN,recall,1.0
CNN,f-measure,1.0
CNN,precision,0.9818181818181818
CNN,recall,0.8571428571428571
CNN,f-measure,0.9152542372881356
CNN,precision,0.8709677419354839
CNN,recall,1.0
CNN,f-measure,0.9310344827586207
CNN,precision,1.0
CNN,recall,0.9672131147540983
CNN,f-measure,0.9833333333333333
CNN,precision,1.0
CNN,recall,0.8936170212765957
CNN,f-measure,0.9438202247191011
CNN,precision,0.9777777777777777
CNN,recall,0.8979591836734694
CNN,f-measure,0.9361702127659575
CNN,precision,0.9722222222222222
CNN,recall,0.7608695652173914
CNN,f-measure,0.853658536585366
CNN,precision,0.9767441860465116
CNN,recall,0.9545454545454546
CNN,f-measure,0.9655172413793104
CNN,precision,1.0
CNN,recall,0.9069767441860465
CNN,f-measure,0.951219512195122
CNN,precision,0.8974358974358975
CNN,recall,0.7608695652173914
CNN,f-measure,0.8235294117647058
CNN,precision,0.9777777777777777
CNN,recall,0.9777777777777777
CNN,f-measure,0.9777777777777777
CNN,precision,0.9622641509433962
CNN,recall,0.9807692307692307
CNN,f-measure,0.9714285714285713
CNN,precision,0.918918918918919
CNN,recall,0.85
CNN,f-measure,0.8831168831168831
CNN,precision,0.8787878787878788
CNN,recall,0.8285714285714286
CNN,f-measure,0.8529411764705883
CNN,precision,0.9722222222222222
CNN,recall,0.9459459459459459
CNN,f-measure,0.9589041095890412
CNN,precision,1.0
CNN,recall,0.7931034482758621
CNN,f-measure,0.8846153846153846
CNN,precision,0.9428571428571428
CNN,recall,0.8918918918918919
CNN,f-measure,0.9166666666666667
CNN,precision,0.9615384615384616
CNN,recall,0.847457627118644
CNN,f-measure,0.9009009009009009
CNN,precision,0.8809523809523809
CNN,recall,0.7254901960784313
CNN,f-measure,0.7956989247311828
CNN,precision,0.9848484848484849
CNN,recall,1.0
CNN,f-measure,0.9923664122137404
CNN,precision,0.9864864864864865
CNN,recall,0.9358974358974359
CNN,f-measure,0.9605263157894737
CNN,precision,0.9347826086956522
CNN,recall,0.7166666666666667
CNN,f-measure,0.8113207547169811
CNN,precision,0.9798657718120806
CNN,recall,0.9012345679012346
CNN,f-measure,0.9389067524115756
CNN,precision,0.9313725490196079
CNN,recall,0.6418918918918919
CNN,f-measure,0.76
CNN,precision,0.949438202247191
CNN,recall,0.9285714285714286
CNN,f-measure,0.9388888888888889
CNN,precision,0.9782608695652174
